"","...1","ENTREZID","ENSEMBL","SYMBOL","logFC","logCPM","F","PValue","FDR","direction"
"ENSG00000184557","SOCS3",9021,"ENSG00000184557","SOCS3",-0.638780586169299,5.81533009850667,5.75081984003763,0.0216014473553043,0.156740838074551,"down"
"ENSG00000143641","GALNT2",2590,"ENSG00000143641","GALNT2",-0.192665544724842,5.31539629568367,5.74847794640885,0.0216263071739187,0.156846992237711,"down"
"ENSG00000215190","LINC00680",106660612,"ENSG00000215190","LINC00680",0.315160721833875,3.11466232426329,5.74451819747575,0.0216684114488039,0.157074252918574,"up"
"ENSG00000156510","HKDC1",80201,"ENSG00000156510","HKDC1",0.426339439228612,2.68233436121302,5.74360520377975,0.0216781319577161,0.157074252918574,"up"
"ENSG00000135775","COG2",22796,"ENSG00000135775","COG2",0.15972357213975,5.74056722691749,5.74126744416634,0.0217030432682393,0.157106314328232,"up"
"ENSG00000197208","SLC22A4",6583,"ENSG00000197208","SLC22A4",-0.606571337059865,5.25385110857693,5.7412667446417,0.0217030507270542,0.157106314328232,"down"
"ENSG00000133116","KL",9365,"ENSG00000133116","KL",-0.869055425028074,0.928067555028427,5.73838634322249,0.0217337871055321,0.157225603048699,"down"
"ENSG00000211884","TRAJ5",28750,"ENSG00000211884","TRAJ5",0.359721039118582,1.43844012058214,5.73780099547805,0.0217400390336057,0.157225603048699,"up"
"ENSG00000118496","FBXO30",84085,"ENSG00000118496","FBXO30",-0.169480455924498,6.11183454059918,5.73506128345742,0.0217693269951671,0.15724760880152,"down"
"ENSG00000188786","MTF1",4520,"ENSG00000188786","MTF1",-0.341749337271973,5.95812059680741,5.73485354261115,0.0217715495201449,0.15724760880152,"down"
"ENSG00000174130","TLR6",10333,"ENSG00000174130","TLR6",-0.397572833381059,7.75362199662317,5.7328476662849,0.0217930221243221,0.15724760880152,"down"
"ENSG00000100226","GTPBP1",9567,"ENSG00000100226","GTPBP1",-0.365556051802287,6.42909068013977,5.73236409663664,0.0217982020944716,0.15724760880152,"down"
"ENSG00000110031","LPXN",9404,"ENSG00000110031","LPXN",0.189538781269552,6.64802650276846,5.73171843398209,0.0218051204741166,0.15724760880152,"up"
"ENSG00000102934","PLLP",51090,"ENSG00000102934","PLLP",0.532225149059775,0.616945977800105,5.73105043399307,0.021812280704485,0.15724760880152,"up"
"ENSG00000152359","POC5",134359,"ENSG00000152359","POC5",0.191236955083841,4.42022170587194,5.73080846019815,0.021814875027448,0.15724760880152,"up"
"ENSG00000203865","ATP1A1-AS1",84852,"ENSG00000203865","ATP1A1-AS1",0.278584987797956,2.48733499682241,5.72626335615225,0.0218636675119205,0.157525258596224,"up"
"ENSG00000232119","MCTS1",28985,"ENSG00000232119","MCTS1",0.325366291214478,3.92136536628592,5.7227585980824,0.0219013723982908,0.157570131799889,"up"
"ENSG00000178397","FAM220A",84792,"ENSG00000178397","FAM220A",0.192927499022503,4.3460540712471,5.72254326835108,0.0219036912533932,0.157570131799889,"up"
"ENSG00000130204","TOMM40",10452,"ENSG00000130204","TOMM40",0.275525910605955,3.5242178734472,5.72110062432825,0.0219192337399665,0.157570131799889,"up"
"ENSG00000100271","TTLL1",25809,"ENSG00000100271","TTLL1",0.261033841608614,2.75696431958004,5.7204833724728,0.0219258874196748,0.157570131799889,"up"
"ENSG00000214113","LYRM4",57128,"ENSG00000214113","LYRM4",0.298543410688513,4.11333470120391,5.72045260349891,0.0219262191517217,0.157570131799889,"up"
"ENSG00000131652","THOC6",79228,"ENSG00000131652","THOC6",0.249261782171913,3.96782398870211,5.71995739665003,0.0219315589134466,0.157570131799889,"up"
